,index,Fecha,N° de contagios,Masculino,Femenino,LIMA,ANCASH,PIURA,CALLAO,CAJAMARCA,LA LIBERTAD,LORETO,SAN MARTIN,ICA,AYACUCHO,LAMBAYEQUE,PUNO,UCAYALI,AREQUIPA,AMAZONAS,APURIMAC,CUSCO,HUANCAVELICA,HUANUCO,JUNIN,TACNA,PASCO,MOQUEGUA,TUMBES,MADRE DE DIOS,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
58,58,2020-05-03,1865,1077,788,1213,25,84,95,13,50,23,20,28,2,131,1,94,7,2,0,2,6,4,48,4,2,0,11,0,0.5745532963647566,0.6407818277865821,0.21008403361344535,0.42857142857142855,0.4481132075471698,0.4482758620689655,0.4545454545454545,0.21904761904761905,0.6666666666666666,0.5833333333333334,0.125,0.9097222222222222,0.2,0.8867924528301887,0.2258064516129032,0.04,0.0,0.18181818181818185,0.2727272727272727,1.3333333333333333,0.8727272727272727,0.8,0.2222222222222222,0.0,0.28205128205128205,0.0
59,59,2020-05-04,3800,2194,1606,2324,97,211,196,14,120,133,7,62,27,306,7,91,50,26,6,7,2,7,44,5,20,12,21,5,2.037533512064343,1.9159109645507009,3.88,2.511904761904762,2.0631578947368423,1.0769230769230769,2.4,5.782608695652174,0.35,2.2142857142857144,13.5,2.33587786259542,7.0,0.9680851063829788,7.142857142857142,13.0,inf,3.5,0.3333333333333333,1.75,0.9166666666666666,1.25,10.0,inf,1.9090909090909087,inf
60,60,2020-05-05,3784,2195,1589,2372,120,208,270,14,151,57,11,37,16,223,8,59,57,12,3,24,34,4,60,9,8,13,10,4,0.9957894736842106,1.0206540447504302,1.2371134020618555,0.985781990521327,1.3775510204081634,1.0,1.2583333333333333,0.42857142857142855,1.5714285714285714,0.5967741935483871,0.5925925925925926,0.7287581699346405,1.1428571428571428,0.6483516483516484,1.14,0.4615384615384616,0.5,3.4285714285714284,17.0,0.5714285714285714,1.3636363636363635,1.8,0.4,1.0833333333333333,0.4761904761904762,0.8
61,61,2020-05-06,3587,2115,1472,2242,74,205,248,10,112,110,31,60,20,163,4,81,56,11,1,50,2,11,57,5,9,5,14,6,0.947938689217759,0.945193929173693,0.6166666666666667,0.9855769230769232,0.9185185185185184,0.7142857142857143,0.7417218543046358,1.9298245614035088,2.8181818181818183,1.6216216216216215,1.25,0.7309417040358744,0.5,1.3728813559322033,0.9824561403508772,0.9166666666666666,0.3333333333333333,2.083333333333333,0.05882352941176471,2.75,0.95,0.5555555555555556,1.125,0.38461538461538464,1.4,1.5
62,62,2020-05-07,3598,2147,1451,2379,78,146,329,8,54,76,61,76,13,151,3,12,47,9,0,48,5,12,63,1,7,4,14,2,1.0030666294954,1.0611061552185548,1.054054054054054,0.7121951219512195,1.3266129032258065,0.8,0.4821428571428572,0.6909090909090909,1.9677419354838708,1.2666666666666666,0.65,0.9263803680981596,0.75,0.14814814814814814,0.8392857142857143,0.8181818181818182,0.0,0.96,2.5,1.0909090909090908,1.1052631578947372,0.2,0.7777777777777778,0.8,1.0,0.3333333333333333
63,63,2020-05-08,3314,1940,1374,2051,53,145,222,11,72,126,50,97,24,150,1,101,39,19,0,48,13,5,41,5,2,23,11,5,0.9210672595886604,0.8621269440941572,0.6794871794871795,0.9931506849315068,0.6747720364741642,1.375,1.3333333333333333,1.6578947368421053,0.819672131147541,1.2763157894736843,1.8461538461538465,0.9933774834437086,0.3333333333333333,8.416666666666666,0.8297872340425532,2.1111111111111107,,1.0,2.6,0.4166666666666667,0.6507936507936508,5.0,0.2857142857142857,5.75,0.7857142857142857,2.5
64,64,2020-05-09,2459,1458,1001,1412,69,89,185,6,79,105,28,37,9,67,5,190,59,4,1,11,5,13,35,8,6,2,21,13,0.7420036210018105,0.6884446611409069,1.30188679245283,0.6137931034482759,0.8333333333333334,0.5454545454545454,1.0972222222222223,0.8333333333333334,0.56,0.38144329896907214,0.375,0.44666666666666666,5.0,1.8811881188118809,1.5128205128205128,0.21052631578947367,inf,0.22916666666666666,0.38461538461538464,2.6,0.8536585365853658,1.6,3.0,0.08695652173913042,1.9090909090909087,2.6
65,65,2020-05-10,930,515,415,595,11,38,42,2,37,51,14,12,2,27,1,47,25,0,0,2,1,2,17,0,2,0,2,0,0.3782025213501423,0.4213881019830028,0.15942028985507245,0.42696629213483145,0.22702702702702704,0.3333333333333333,0.4683544303797468,0.4857142857142857,0.5,0.32432432432432434,0.2222222222222222,0.4029850746268657,0.2,0.2473684210526316,0.42372881355932196,0.0,0.0,0.18181818181818185,0.2,0.15384615384615385,0.4857142857142857,0.0,0.3333333333333333,0.0,0.09523809523809523,0.0
66,66,2020-05-11,3515,2241,1274,2300,121,151,209,13,57,189,8,42,14,127,3,46,51,12,3,55,1,16,44,1,3,3,30,16,3.7795698924731194,3.865546218487395,11.0,3.9736842105263164,4.976190476190476,6.5,1.5405405405405406,3.7058823529411766,0.5714285714285714,3.5,7.0,4.703703703703703,3.0,0.9787234042553192,2.04,inf,inf,27.5,1.0,8.0,2.588235294117647,inf,1.5,inf,15.0,inf
67,67,2020-05-12,4315,2619,1696,2926,101,132,316,22,103,118,12,94,17,129,4,84,104,11,3,33,1,13,38,3,9,2,29,11,1.2275960170697011,1.2721739130434782,0.8347107438016529,0.8741721854304636,1.5119617224880382,1.6923076923076923,1.8070175438596487,0.6243386243386243,1.5,2.238095238095238,1.2142857142857142,1.015748031496063,1.3333333333333333,1.826086956521739,2.0392156862745097,0.9166666666666666,1.0,0.6,1.0,0.8125,0.8636363636363636,3.0,3.0,0.6666666666666666,0.9666666666666668,0.6875
68,68,2020-05-13,4430,2703,1727,2811,152,115,351,3,72,153,29,73,19,164,1,109,112,8,2,47,5,62,74,4,8,6,36,14,1.0266512166859791,0.9606971975393028,1.504950495049505,0.8712121212121212,1.110759493670886,0.13636363636363635,0.6990291262135923,1.2966101694915255,2.4166666666666665,0.7765957446808509,1.1176470588235294,1.2713178294573644,0.25,1.2976190476190477,1.0769230769230769,0.7272727272727273,0.6666666666666666,1.4242424242424243,5.0,4.769230769230768,1.947368421052632,1.3333333333333333,0.8888888888888888,3.0,1.2413793103448276,1.2727272727272727
69,69,2020-05-14,3707,2186,1521,2138,179,135,325,12,83,133,38,84,12,180,1,110,121,3,2,31,12,26,29,6,12,4,23,8,0.8367945823927765,0.7605834222696549,1.1776315789473684,1.173913043478261,0.925925925925926,4.0,1.1527777777777777,0.8692810457516341,1.3103448275862069,1.1506849315068493,0.631578947368421,1.0975609756097562,1.0,1.0091743119266054,1.0803571428571428,0.375,1.0,0.6595744680851063,2.4,0.41935483870967744,0.3918918918918919,1.5,1.5,0.6666666666666666,0.6388888888888888,0.5714285714285714
70,70,2020-05-15,4266,2654,1612,2420,166,99,310,20,210,237,21,102,47,259,7,104,96,23,3,6,5,23,48,10,7,1,38,4,1.1507957917453466,1.1318989710009355,0.9273743016759776,0.7333333333333333,0.953846153846154,1.6666666666666667,2.5301204819277108,1.781954887218045,0.5526315789473685,1.2142857142857142,3.9166666666666665,1.4388888888888889,7.0,0.9454545454545454,0.7933884297520661,7.666666666666668,1.5,0.1935483870967742,0.4166666666666667,0.8846153846153846,1.6551724137931034,1.6666666666666667,0.5833333333333334,0.25,1.6521739130434785,0.5
71,71,2020-05-16,4110,2558,1552,2396,103,58,215,13,145,156,54,118,39,134,1,407,85,32,0,10,5,8,43,5,15,13,36,19,0.9634317862165964,0.9900826446280993,0.6204819277108434,0.5858585858585859,0.6935483870967742,0.65,0.6904761904761905,0.6582278481012658,2.571428571428572,1.156862745098039,0.8297872340425532,0.5173745173745173,0.14285714285714285,3.9134615384615374,0.8854166666666666,1.391304347826087,0.0,1.6666666666666667,1.0,0.3478260869565217,0.8958333333333334,0.5,2.142857142857143,13.0,0.9473684210526316,4.75
72,72,2020-05-17,1792,1028,764,1308,49,50,108,2,6,77,19,34,8,26,0,52,8,1,2,0,9,5,8,0,6,0,14,0,0.4360097323600973,0.5459098497495827,0.4757281553398058,0.8620689655172413,0.5023255813953489,0.15384615384615385,0.04137931034482759,0.4935897435897436,0.35185185185185186,0.288135593220339,0.20512820512820512,0.19402985074626866,0.0,0.12776412776412774,0.09411764705882353,0.03125,inf,0.0,1.8,0.625,0.18604651162790695,0.0,0.4,0.0,0.3888888888888889,0.0
73,73,2020-05-18,5096,3231,1865,3098,96,181,236,18,120,165,92,182,15,224,5,354,86,18,4,6,6,17,98,17,8,9,24,17,2.84375,2.368501529051988,1.959183673469388,3.62,2.185185185185185,9.0,20.0,2.142857142857143,4.842105263157895,5.352941176470588,1.875,8.615384615384615,inf,6.807692307692308,10.75,18.0,2.0,inf,0.6666666666666666,3.4,12.25,inf,1.3333333333333333,inf,1.7142857142857142,inf
74,74,2020-05-19,5089,3049,2040,2812,281,262,382,28,133,253,89,88,16,218,4,140,122,30,2,39,16,20,39,12,15,39,40,9,0.9986263736263736,0.907682375726275,2.927083333333333,1.4475138121546962,1.61864406779661,1.5555555555555556,1.1083333333333334,1.5333333333333334,0.9673913043478259,0.4835164835164835,1.0666666666666669,0.9732142857142856,0.8,0.3954802259887006,1.4186046511627908,1.6666666666666667,0.5,6.5,2.6666666666666665,1.1764705882352942,0.3979591836734694,0.7058823529411765,1.875,4.333333333333333,1.6666666666666667,0.5294117647058824
