DEPARTAMENTO,GRUPO_EDAD,RANGO_EDAD,SEXO,TOTAL_POSITIVOS,TOTAL_FALLECIDOS,COD
MOQUEGUA,JOVEN,18 a 29 años,FEMENINO,43,0,MOQUE
MOQUEGUA,JOVEN,18 a 29 años,MASCULINO,46,0,MOQUE
MOQUEGUA,NIÑO,0 a 11 años,FEMENINO,14,0,MOQUE
MOQUEGUA,NIÑO,0 a 11 años,MASCULINO,8,0,MOQUE
PASCO,ADOLESCENTE,12 a 17 años,FEMENINO,11,0,PASCO
PASCO,ADOLESCENTE,12 a 17 años,MASCULINO,6,0,PASCO
PASCO,ADULTO,30 a 59 años,FEMENINO,165,2,PASCO
PASCO,ADULTO,30 a 59 años,MASCULINO,228,1,PASCO
PASCO,ADULTO MAYOR,60 años a más,FEMENINO,46,7,PASCO
PASCO,ADULTO MAYOR,60 años a más,MASCULINO,48,2,PASCO
PASCO,JOVEN,18 a 29 años,FEMENINO,63,0,PASCO
PASCO,JOVEN,18 a 29 años,MASCULINO,60,0,PASCO
PASCO,NIÑO,0 a 11 años,FEMENINO,13,0,PASCO
PASCO,NIÑO,0 a 11 años,MASCULINO,13,0,PASCO
PIURA,ADOLESCENTE,12 a 17 años,FEMENINO,61,0,PIURA
PIURA,ADOLESCENTE,12 a 17 años,MASCULINO,54,0,PIURA
PIURA,ADULTO,30 a 59 años,FEMENINO,2597,57,PIURA
PIURA,ADULTO,30 a 59 años,MASCULINO,3617,132,PIURA
PIURA,ADULTO MAYOR,60 años a más,FEMENINO,956,120,PIURA
PIURA,ADULTO MAYOR,60 años a más,MASCULINO,1268,266,PIURA
PIURA,JOVEN,18 a 29 años,FEMENINO,723,3,PIURA
PIURA,JOVEN,18 a 29 años,MASCULINO,1116,1,PIURA
PIURA,NIÑO,0 a 11 años,FEMENINO,76,4,PIURA
PIURA,NIÑO,0 a 11 años,MASCULINO,77,1,PIURA
PUNO,ADOLESCENTE,12 a 17 años,FEMENINO,1,0,PUNO
PUNO,ADOLESCENTE,12 a 17 años,MASCULINO,4,0,PUNO
